model_id	total_time	NLLH	AIC	AICc	BIC	n_converged	start_time_0	start_time_1	start_time_2	start_time_3	start_time_4	start_time_5	start_time_6	start_time_7	start_time_8	start_time_9	start_time_10	start_time_11	start_time_12	start_time_13	start_time_14	start_time_15	start_time_16	start_time_17	start_time_18	start_time_19
M_00000100001000010110000001010001	15.084457635879517	21.353212943466218	60.706425886932436	61.450227539825	92.47128767453525	20	0.6203110218048096	0.836134672164917	0.9053342342376709	0.8518533706665039	0.7795631885528564	0.5193846225738525	0.6059081554412842	1.5690248012542725	0.9824402332305908	0.4737229347229004	0.6862895488739014	0.5133399963378906	0.6715779304504395	0.48613929748535156	0.45934605598449707	0.7106931209564209	0.9209132194519043	0.8062863349914551	1.1523654460906982	0.5338294506072998
M_01000100001000010100000001010001	21.013484477996826	29.677079294948847	77.3541585898977	78.09796024279025	109.1190203775005	19	0.7849199771881104	0.7305595874786377	0.7113471031188965	0.6425974369049072	1.0473954677581787	0.6300303936004639	0.9022219181060791	1.548539638519287	0.7191998958587646	1.3999428749084473	0.7294783592224121	0.9303631782531738	0.7486846446990967	1.0009968280792236	0.5801517963409424	2.3925061225891113	0.9364173412322998	3.033945322036743	0.8901033401489258	0.654083251953125
M_01000100001000010110000000010001	15.903213024139404	16.03986595826762	50.07973191653524	50.8235335694278	81.84459370413805	13	0.655210018157959	0.7895193099975586	0.6616225242614746	0.5863063335418701	1.0504686832427979	0.8968944549560547	0.6754724979400635	0.596149206161499	0.6258373260498047	0.4708116054534912	1.0937557220458984	0.7074909210205078	1.2224020957946777	1.568161964416504	0.7604537010192871	0.5594916343688965	0.6789231300354004	0.43242859840393066	1.5644564628601074	0.3073568344116211
M_01000100000000010110000001010001	16.41953206062317	20.461804966752656	58.92360993350531	59.667411586397876	90.68847172110813	14	0.8525257110595703	0.40202760696411133	0.8063704967498779	0.7000472545623779	1.2285661697387695	1.3179395198822021	0.6939189434051514	1.1743199825286865	0.3947165012359619	0.6631577014923096	0.8206355571746826	1.2925465106964111	1.290135145187378	0.9177711009979248	0.8158032894134521	0.5342652797698975	0.7455668449401855	0.7473001480102539	0.5232908725738525	0.4986274242401123
M_01000000001000010110000001010001	10.803115129470825	41.29185947618398	100.58371895236796	101.32752060526052	132.34858073997077	17	0.4522972106933594	0.38883376121520996	0.4098677635192871	0.6356832981109619	0.4320495128631592	0.6952834129333496	0.5541093349456787	0.6292381286621094	0.6773850917816162	0.3208193778991699	0.5575501918792725	0.49874210357666016	0.617431640625	0.6716334819793701	1.0726778507232666	0.5047178268432617	0.5886950492858887	0.33620166778564453	0.4518759250640869	0.30802249908447266
M_01000100001000010110000001010000	10.384875535964966	95.85447171729999	209.70894343459997	210.45274508749253	241.47380522220277	20	0.2986717224121094	0.5767116546630859	0.617077112197876	0.4012148380279541	0.8851363658905029	0.445328950881958	0.5762932300567627	0.2855956554412842	0.502394437789917	0.37348508834838867	0.8945422172546387	0.5060789585113525	0.24325299263000488	0.4228196144104004	0.5079083442687988	0.22131037712097168	1.1327638626098633	0.527216911315918	0.5675575733184814	0.39951562881469727
M_11000100001000000010000001010001	40.51458191871643	27.808897449445112	73.61779489889022	74.36159655178278	105.38265668649304	15	0.7540099620819092	1.8486015796661377	2.0882036685943604	2.0326788425445557	4.8826093673706055	0.7461986541748047	0.6480875015258789	0.9585475921630859	4.855324983596802	0.8758957386016846	3.3337368965148926	0.41944003105163574	3.1298842430114746	3.8376240730285645	1.8830673694610596	7.232133150100708	0.24193024635314941	0.17542004585266113	0.29297733306884766	0.2782106399536133
M_10000100001000010010000001010001	35.6821403503418	20.33760525967332	58.67521051934664	59.419012172239206	90.44007230694945	9	2.319516897201538	3.809279441833496	0.8685135841369629	4.451037168502808	1.0053448677062988	0.7775354385375977	2.1336963176727295	2.136887311935425	1.8698101043701172	1.0701172351837158	1.0151009559631348	0.7846410274505615	0.3080456256866455	0.4730663299560547	2.2654666900634766	9.12852168083191	0.34638381004333496	0.2594258785247803	0.2861192226409912	0.3736307621002197
M_11000100001000010000000001010001	39.10325860977173	30.356139090776797	78.71227818155359	79.45607983444614	110.47713996915641	10	3.48936128616333	5.098829746246338	0.9214427471160889	1.0224378108978271	0.5009315013885498	2.9445126056671143	2.453404188156128	3.1127257347106934	3.504375696182251	2.0713274478912354	0.902923583984375	1.864011526107788	8.992522239685059	0.5798618793487549	0.2578613758087158	0.23184680938720703	0.31473493576049805	0.3256831169128418	0.3011350631713867	0.21332931518554688
M_11000100001000010010000000010001	20.047971963882446	15.910558501371256	49.82111700274251	50.564918655635076	81.58597879034532	9	1.764510154724121	1.0120549201965332	1.154299020767212	2.9866461753845215	2.7083089351654053	0.9824182987213135	1.3429625034332275	2.899801731109619	1.068718433380127	0.3099186420440674	0.6939010620117188	0.5657577514648438	0.4325699806213379	0.6058876514434814	0.3993668556213379	0.24055886268615723	0.2177114486694336	0.18662405014038086	0.25519609451293945	0.22075939178466797
